iter	Passed	Remaining
0	146	146815
1	148	73878
2	148	49506
3	152	37973
4	154	30792
5	156	25926
6	158	22422
7	160	19888
8	161	17821
9	163	16215
10	166	14971
11	169	13988
12	172	13076
13	173	12233
14	174	11480
15	177	10924
16	179	10407
17	182	9972
18	186	9636
19	188	9214
20	190	8872
21	191	8522
22	193	8202
23	194	7918
24	197	7694
25	198	7442
26	200	7230
27	203	7048
28	205	6868
29	206	6665
30	208	6516
31	210	6379
32	213	6268
33	216	6155
34	217	6007
35	219	5886
36	223	5804
37	223	5668
38	226	5577
39	228	5489
40	230	5388
41	231	5284
42	233	5191
43	235	5127
44	237	5037
45	239	4961
46	240	4882
47	243	4823
48	244	4745
49	245	4670
50	246	4595
51	249	4550
52	250	4479
53	251	4409
54	252	4342
55	253	4277
56	254	4212
57	256	4171
58	258	4123
59	259	4070
60	260	4013
61	261	3959
62	263	3920
63	264	3871
64	265	3825
65	268	3798
66	271	3784
67	273	3741
68	274	3707
69	276	3668
70	278	3649
71	281	3631
72	283	3598
73	285	3576
74	288	3562
75	290	3533
76	291	3498
77	294	3481
78	296	3459
79	298	3431
80	300	3410
81	303	3399
82	304	3362
83	306	3344
84	307	3314
85	308	3283
86	310	3257
87	312	3233
88	314	3217
89	316	3196
90	317	3173
91	319	3151
92	321	3136
93	322	3108
94	324	3089
95	326	3072
96	327	3049
97	329	3028
98	331	3020
99	334	3009
100	335	2986
101	336	2965
102	338	2944
103	339	2928
104	341	2907
105	342	2885
106	346	2892
107	347	2871
108	349	2857
109	351	2840
110	352	2822
111	353	2802
112	354	2786
113	356	2770
114	360	2772
115	362	2766
116	366	2763
117	367	2747
118	368	2730
119	370	2716
120	371	2698
121	373	2685
122	375	2675
123	379	2681
124	380	2666
125	382	2652
126	384	2640
127	385	2624
128	388	2625
129	390	2613
130	392	2603
131	393	2590
132	395	2576
133	396	2563
134	397	2549
135	398	2534
136	402	2537
137	404	2524
138	405	2512
139	408	2510
140	410	2498
141	411	2483
142	412	2474
143	415	2472
144	418	2465
145	421	2464
146	423	2454
147	424	2441
